title,studio,year,genre_ids,id,original_language,original_title,popularity,release_date,vote_average,vote_count,movie_id,primary_title,start_year,runtime_minutes,genres
Of Gods and Men,SPC,2011,"[18, 36]",46332,fr,Des hommes et des dieux,7.377,2011-02-25,6.7,174,tt1588337,Of Gods and Men,2010,122.0,"Drama,History"
30 Minutes or Less,Sony,2011,"[28, 12, 35]",62206,en,30 Minutes or Less,11.315,2011-08-12,5.6,825,tt1622547,30 Minutes or Less,2011,83.0,"Action,Comedy,Crime"
The Roommate,SGem,2011,"[53, 18, 27]",49950,en,The Roommate,8.134,2011-02-04,5.4,406,tt1265990,The Roommate,2011,91.0,"Drama,Thriller"
Shark Night 3D,Rela.,2011,"[27, 53]",65055,en,Shark Night 3D,7.879,2011-09-02,5.0,245,tt1633356,Shark Night 3D,2011,90.0,"Horror,Thriller"
Monte Carlo,Fox,2011,"[12, 35, 10749]",59860,en,Monte Carlo,11.017,2011-07-01,6.2,1193,tt1067774,Monte Carlo,2011,109.0,"Adventure,Comedy,Family"
50/50,Sum.,2011,"[35, 18]",40807,en,50/50,12.451,2011-09-30,7.1,2111,tt1306980,50/50,2011,100.0,"Comedy,Drama,Romance"
50/50,Sum.,2011,"[35, 18]",40807,en,50/50,12.451,2011-09-30,7.1,2111,tt1734060,50/50,2010,77.0,Documentary
Mars Needs Moms,BV,2011,"[12, 16, 10751]",50321,en,Mars Needs Moms,8.852,2011-03-11,5.7,299,tt1305591,Mars Needs Moms,2011,88.0,"Adventure,Animation,Family"
Dream House,Uni.,2011,"[18, 53, 9648]",69668,en,Dream House,9.047,2011-09-30,6.0,670,tt1462041,Dream House,2011,84.0,"Drama,Mystery,Thriller"
Jumping the Broom,TriS,2011,[35],57119,en,Jumping the Broom,8.477,2011-05-06,6.0,103,tt1640484,Jumping the Broom,2011,112.0,"Comedy,Drama"
Don't Be Afraid of the Dark,FD,2011,"[14, 27, 53]",46261,en,Don't Be Afraid of the Dark,8.405,2010-11-06,5.5,550,tt1270761,Don't Be Afraid of the Dark,2010,99.0,"Fantasy,Horror,Thriller"
My Week with Marilyn,Wein.,2011,[18],75900,en,My Week with Marilyn,12.081,2011-11-23,6.7,741,tt1655420,My Week with Marilyn,2011,99.0,"Biography,Drama"
The Sitter,Fox,2011,[35],57431,en,The Sitter,11.571,2011-12-09,5.4,472,tt1366344,The Sitter,2011,81.0,Comedy
Jane Eyre,Focus,2011,"[18, 10749]",38684,en,Jane Eyre,12.329,2011-03-11,7.1,758,tt1229822,Jane Eyre,2011,120.0,"Drama,Romance"
Jane Eyre,Focus,2011,"[18, 10749]",38684,en,Jane Eyre,12.329,2011-03-11,7.1,758,tt9626910,Jane Eyre,2019,90.0,History
Courageous,TriS,2011,[18],72213,en,Courageous,7.406,2011-09-30,7.0,128,tt1630036,Courageous,2011,129.0,Drama
African Cats,BV,2011,"[99, 10751, 12]",57586,en,African Cats,7.709,2011-04-22,7.1,105,tt1223236,African Cats,2011,89.0,"Adventure,Documentary"
The Skin I Live In,SPC,2011,"[18, 27, 9648, 53]",63311,es,La piel que habito,6.912,2011-10-14,7.5,1503,tt1189073,The Skin I Live In,2011,120.0,"Drama,Horror,Thriller"
I Don't Know How She Does It,Wein.,2011,"[10749, 35]",70868,en,I Don't Know How She Does It,8.271,2011-09-16,5.2,231,tt1742650,I Don't Know How She Does It,2011,89.0,"Comedy,Romance"
What's Your Number?,Fox,2011,"[35, 10749]",63492,en,What's Your Number?,10.391,2011-09-30,6.4,1271,tt0770703,What's Your Number?,2011,106.0,"Comedy,Romance"
Drive Angry,Sum.,2011,"[14, 53, 28, 80]",47327,en,Drive Angry,14.096,2011-02-24,5.3,959,tt1502404,Drive Angry,2011,104.0,"Action,Fantasy,Thriller"
A Dangerous Method,SPC,2011,"[18, 53]",48231,en,A Dangerous Method,10.352,2011-11-23,6.3,1066,tt1571222,A Dangerous Method,2011,99.0,"Biography,Drama,Romance"
The Eagle,Focus,2011,"[12, 18]",49494,en,The Eagle,8.443,2011-02-11,6.1,694,tt1034389,The Eagle,2011,114.0,"Action,Adventure,Drama"
The Eagle,Focus,2011,"[12, 18]",49494,en,The Eagle,8.443,2011-02-11,6.1,694,tt5130954,The Eagle,2015,11.0,Documentary
Apollo 18,W/Dim.,2011,"[27, 53, 878]",50357,en,Apollo 18,8.384,2011-09-02,5.0,486,tt1772240,Apollo 18,2011,86.0,"Horror,Mystery,Sci-Fi"
Biutiful,RAtt.,2011,[18],45958,es,Biutiful,7.697,2010-12-28,7.2,546,tt1164999,Biutiful,2010,148.0,"Drama,Romance"
Your Highness,Uni.,2011,"[14, 18, 28, 35, 878]",98957,en,Your Highness,0.6,2010-01-01,3.0,4,tt1240982,Your Highness,2011,102.0,"Adventure,Comedy,Fantasy"
Your Highness,Uni.,2011,"[35, 12, 14]",38319,en,Your Highness,12.254,2011-04-08,5.3,735,tt1240982,Your Highness,2011,102.0,"Adventure,Comedy,Fantasy"
Our Idiot Brother,Wein.,2011,"[35, 18]",59968,en,Our Idiot Brother,8.523,2011-08-26,6.1,527,tt1637706,Our Idiot Brother,2011,90.0,"Comedy,Drama"
The Rum Diary,FD,2011,"[18, 35]",23514,en,The Rum Diary,12.011,2011-10-27,5.7,652,tt0376136,The Rum Diary,2011,119.0,"Comedy,Drama"
Warrior,LGF,2011,[18],59440,en,Warrior,15.478,2011-09-09,7.8,2189,tt1291584,Warrior,2011,140.0,"Drama,Sport"
Young Adult,Par.,2011,"[35, 18]",57157,en,Young Adult,8.335,2011-12-16,5.7,603,tt1625346,Young Adult,2011,94.0,"Comedy,Drama"
Sarah's Key,Wein.,2011,"[18, 10752]",53457,fr,Elle s'appelait Sarah,7.132,2011-07-22,7.3,408,tt1668200,Sarah's Key,2010,111.0,"Drama,War"
The Way Back,NM,2011,"[18, 12, 36]",49009,en,The Way Back,7.503,2010-09-03,6.9,759,tt1023114,The Way Back,2010,133.0,"Adventure,Drama,History"
The Guard,SPC,2011,"[28, 35, 53, 80]",67913,en,The Guard,10.177,2011-07-29,6.9,563,tt1540133,The Guard,2011,96.0,"Comedy,Crime,Thriller"
Margin Call,RAtt.,2011,"[53, 18]",50839,en,Margin Call,9.498,2011-10-21,6.8,856,tt1615147,Margin Call,2011,107.0,"Drama,Thriller"
Shame,FoxS,2011,[18],76025,en,Shame,13.152,2011-12-02,7.0,1607,tt1723811,Shame,2011,101.0,Drama
The Last Godfather,RAtt.,2011,"[28, 35, 53]",70829,ko,The Last Godfather,1.4,2011-04-11,4.9,9,tt1584131,The Last Godfather,2010,100.0,"Comedy,Crime,Romance"
Melancholia,Magn.,2011,"[18, 878]",62215,da,Melancholia,11.123,2011-11-11,7.1,1642,tt1527186,Melancholia,2011,135.0,"Drama,Sci-Fi"
The Conspirator,RAtt.,2011,"[80, 18, 36]",60309,en,The Conspirator,6.493,2011-04-15,6.5,226,tt0968264,The Conspirator,2010,122.0,"Crime,Drama,History"
Anonymous,Sony,2011,"[18, 36, 53]",61891,en,Anonymous,8.114,2011-10-28,6.4,434,tt1521197,Anonymous,2011,130.0,"Drama,Thriller"
Anonymous,Sony,2011,"[18, 36, 53]",61891,en,Anonymous,8.114,2011-10-28,6.4,434,tt7632298,Anonymous,2017,60.0,"Action,Comedy,Mystery"
Pina,IFC,2011,[99],57276,de,Pina,7.086,2011-12-23,7.4,115,tt1440266,Pina,2011,103.0,"Documentary,Music"
Beginners,Focus,2011,"[18, 10749, 35]",55347,en,Beginners,10.322,2011-06-17,6.9,532,tt1532503,Beginners,2010,105.0,"Comedy,Drama,Romance"
Snow Flower and the Secret Fan,FoxS,2011,"[18, 36]",58882,en,Snow Flower and the Secret Fan,4.519,2011-07-15,5.9,39,tt1541995,Snow Flower and the Secret Fan,2011,104.0,"Drama,History"
Win Win,FoxS,2011,"[18, 35]",55725,en,Win Win,9.015,2011-03-18,6.9,266,tt1606392,Win Win,2011,106.0,"Comedy,Drama,Sport"
Win Win,FoxS,2011,"[18, 35]",55725,en,Win Win,9.015,2011-03-18,6.9,266,tt2877476,Win Win,2013,97.0,Comedy
Le Havre,Jan.,2011,"[18, 35]",73532,fr,Le Havre,5.973,2011-10-21,6.9,169,tt1508675,Le Havre,2011,93.0,"Comedy,Drama"
Prom,BV,2011,"[35, 10749]",51588,en,Prom,6.911,2011-04-29,6.0,276,tt1604171,Prom,2011,104.0,"Comedy,Drama,Family"
In a Better World,SPC,2011,[18],44716,da,Hævnen,8.381,2011-04-01,7.3,187,tt1340107,In a Better World,2010,118.0,"Drama,Romance"
Point Blank,Magn.,2011,"[28, 53, 80]",61404,fr,À bout portant,6.021,2011-07-29,6.6,230,tt1545759,Point Blank,2010,81.0,"Action,Crime,Drama"
Senna,PDA,2011,[99],58496,en,Senna,7.41,2011-01-21,8.3,437,tt1424432,Senna,2010,106.0,"Biography,Documentary,Sport"
Last Night,Trib.,2011,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,6.1,444,tt1294688,Last Night,2010,93.0,"Drama,Romance"
Last Night,Trib.,2011,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,6.1,444,tt1740794,Last Night,2010,69.0,"Drama,Romance"
Last Night,Trib.,2011,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,6.1,444,tt3602660,Last Night,2014,93.0,"Comedy,Drama,Romance"
Last Night,Trib.,2011,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,6.1,444,tt7433980,Last Night,2017,104.0,Drama
Last Night,Trib.,2011,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,6.1,444,tt7449324,Last Night,2017,94.0,Comedy
Last Night,Trib.,2011,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,6.1,444,tt8678108,Shattered Memories,2018,86.0,"Crime,Thriller"
The Big Year,Fox,2011,[35],73937,en,The Big Year,7.077,2011-10-14,5.8,393,tt1053810,The Big Year,2011,100.0,Comedy
The Beaver,Sum.,2011,[18],50780,en,The Beaver,7.357,2011-05-05,6.3,464,tt1321860,The Beaver,2011,91.0,Drama
Take Me Home Tonight,Rela.,2011,"[35, 18, 10749]",50725,en,Take Me Home Tonight,11.321,2011-03-04,6.1,339,tt0810922,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance"
Cedar Rapids,FoxS,2011,[35],52067,en,Cedar Rapids,7.694,2011-02-11,6.0,206,tt1477837,Cedar Rapids,2011,87.0,Comedy
Cave of Forgotten Dreams,IFC,2011,"[99, 10751]",59490,en,Cave of Forgotten Dreams,8.762,2010-11-03,7.3,143,tt1664894,Cave of Forgotten Dreams,2010,90.0,"Documentary,History"
We Need to Talk About Kevin,Osci.,2011,"[18, 53]",71859,en,We Need to Talk About Kevin,11.964,2011-12-09,7.6,1306,tt1242460,We Need to Talk About Kevin,2011,112.0,"Drama,Mystery,Thriller"
We Need to Talk About Kevin,Osci.,2011,"[18, 53]",71859,en,We Need to Talk About Kevin,11.964,2011-12-09,7.6,1306,tt1242460,We Need to Talk About Kevin,2011,112.0,"Drama,Mystery,Thriller"
Attack the Block,SGem,2011,"[28, 35, 878]",59678,en,Attack the Block,9.612,2011-07-29,6.4,1144,tt1478964,Attack the Block,2011,88.0,"Action,Comedy,Sci-Fi"
Even the Rain,Vita.,2011,"[18, 36]",53596,es,También la lluvia,7.286,2011-05-08,7.0,134,tt1422032,Even the Rain,2010,103.0,"Drama,History"
Young Goethe in Love,MBox,2011,"[10749, 18]",52475,de,Goethe!,2.218,2011-11-04,6.0,32,tt1440180,Young Goethe in Love,2010,102.0,"Drama,Romance"
11-11-11,Rocket,2011,"[27, 53]",51248,en,11-11-11,5.196,2011-11-11,4.3,116,tt1712159,11-11-11,2011,90.0,"Horror,Mystery,Thriller"
Certified Copy,IFC,2011,"[18, 10749]",48303,fr,Copie conforme,7.858,2011-03-11,7.2,149,tt1020773,Certified Copy,2010,106.0,"Drama,Romance"
The Company Men,Wein.,2011,[18],44129,en,The Company Men,8.109,2010-10-21,6.6,349,tt1172991,The Company Men,2010,104.0,Drama
Force,FoxS,2011,"[18, 28, 53, 80, 10749]",75745,hi,Force,1.433,2011-09-30,6.2,17,tt1992138,Force,2011,137.0,"Action,Thriller"
Force,FoxS,2011,"[18, 28, 53, 80, 10749]",75745,hi,Force,1.433,2011-09-30,6.2,17,tt4195244,Force,2014,135.0,"Action,Drama"
London Boulevard,IFC,2011,"[18, 80]",48838,en,London Boulevard,8.469,2010-11-12,5.9,409,tt1213648,London Boulevard,2010,103.0,"Crime,Drama"
Dylan Dog: Dead of Night,OMNI/FSR,2011,"[28, 35, 27, 9648, 878, 53]",43935,en,Dylan Dog: Dead of Night,7.508,2011-11-01,4.4,243,tt1013860,Dylan Dog: Dead of Night,2010,107.0,"Action,Comedy,Crime"
The Way,PDA,2011,"[12, 35, 18]",59468,en,The Way,5.754,2011-10-07,7.2,273,tt1441912,The Way,2010,123.0,"Adventure,Comedy,Drama"
The Way,PDA,2011,"[12, 35, 18]",59468,en,The Way,5.754,2011-10-07,7.2,273,tt1692226,The Way,2010,107.0,Drama
The Way,PDA,2011,"[12, 35, 18]",59468,en,The Way,5.754,2011-10-07,7.2,273,tt6127140,The Way,2017,85.0,Drama
The Way,PDA,2011,"[12, 35, 18]",59468,en,The Way,5.754,2011-10-07,7.2,273,tt6216234,The Way,2016,85.0,Documentary
The Way,PDA,2011,"[12, 35, 18]",59468,en,The Way,5.754,2011-10-07,7.2,273,tt7637364,The Way,2018,73.0,"Documentary,Sport"
King of Devil's Island,FM,2011,"[18, 28]",73211,no,Kongen av Bastøy,7.616,2010-12-20,7.3,96,tt1332134,King of Devil's Island,2010,116.0,"Action,Drama"
Buck,IFC,2011,[99],67273,en,Buck,2.172,2011-06-17,7.3,22,tt1753549,Buck,2011,88.0,Documentary
Carancho,Strand,2011,"[53, 18, 10749, 80]",47261,es,Carancho,4.554,2011-02-11,6.6,59,tt1542852,Carancho,2010,107.0,"Crime,Drama,Romance"
Carancho,Strand,2011,"[53, 18, 10749, 80]",47261,es,Carancho,4.554,2011-02-11,6.6,59,tt1542852,Carancho,2010,107.0,"Crime,Drama,Romance"
Like Crazy,ParV,2011,"[18, 10749]",60420,en,Like Crazy,10.091,2011-10-28,6.5,638,tt1758692,Like Crazy,2011,86.0,"Drama,Romance"
The Double,Imag.,2011,"[28, 18, 80]",73499,en,The Double,9.531,2011-10-28,5.9,341,tt1646980,The Double,2011,98.0,"Action,Crime,Drama"
The Double,Imag.,2011,"[28, 18, 80]",73499,en,The Double,9.531,2011-10-28,5.9,341,tt1825157,The Double,2013,93.0,"Comedy,Drama,Mystery"
The Double,Imag.,2011,"[53, 18]",146015,en,The Double,9.162,2014-05-09,6.6,535,tt1646980,The Double,2011,98.0,"Action,Crime,Drama"
The Double,Imag.,2011,"[53, 18]",146015,en,The Double,9.162,2014-05-09,6.6,535,tt1825157,The Double,2013,93.0,"Comedy,Drama,Mystery"
Don 2,Relbig.,2011,"[28, 53]",41109,hi,Don 2,6.868,2011-12-23,7.1,97,tt1285241,Don 2,2011,148.0,"Action,Crime,Thriller"
Love Crime,IFC,2011,"[53, 80, 9648]",53404,fr,Crime d'amour,4.99,2010-09-09,6.5,45,tt1459012,Love Crime,2010,106.0,"Crime,Drama,Mystery"
Martha Marcy May Marlene,FoxS,2011,"[18, 53]",50837,en,Martha Marcy May Marlene,9.477,2011-10-21,6.7,413,tt1441326,Martha Marcy May Marlene,2011,102.0,"Drama,Mystery,Thriller"
Machine Gun Preacher,Rela.,2011,"[28, 53, 80]",45610,en,Machine Gun Preacher,9.12,2011-09-23,6.5,477,tt1586752,Machine Gun Preacher,2011,129.0,"Action,Biography,Crime"
The Last Circus,Magn.,2011,"[28, 18, 53]",56812,es,Balada triste de trompeta,5.552,2011-08-19,6.7,177,tt1572491,The Last Circus,2010,107.0,"Comedy,Drama,Horror"
The Last Circus,Magn.,2011,"[28, 18, 53]",56812,es,Balada triste de trompeta,5.552,2011-08-19,6.7,177,tt1572491,The Last Circus,2010,107.0,"Comedy,Drama,Horror"
From Prada to Nada,LGF,2011,"[35, 18, 10749]",50217,en,From Prada to Nada,7.641,2011-01-28,5.2,163,tt0893412,From Prada to Nada,2011,107.0,"Comedy,Drama,Romance"
Flypaper,IFC,2011,"[9648, 35, 80]",62046,en,Flypaper,7.33,2011-08-19,6.3,401,tt1541160,Flypaper,2011,87.0,"Comedy,Crime,Mystery"
Take Shelter,SPC,2011,"[53, 18]",64720,en,Take Shelter,11.236,2011-09-30,7.2,787,tt1675192,Take Shelter,2011,121.0,"Drama,Horror,Thriller"
Pastorela,LGF,2011,"[14, 35]",79779,es,Pastorela,1.354,2011-12-02,6.0,11,tt2011183,Pastorela,2011,88.0,"Comedy,Fantasy"
Everything Must Go,RAtt.,2011,"[35, 18, 10749]",45658,en,Everything Must Go,7.493,2011-05-13,6.0,301,tt1531663,Everything Must Go,2010,97.0,"Comedy,Drama"
Oranges and Sunshine,Cohen,2011,[18],70925,en,Oranges and Sunshine,2.726,2011-10-21,7.2,43,tt1438216,Oranges and Sunshine,2010,105.0,"Drama,History"
The Tree,Zeit.,2011,[18],51409,en,The Tree,5.236,2011-07-15,6.6,60,tt1496005,The Tree,2010,100.0,"Drama,Romance"
The Tree,Zeit.,2011,[18],51409,en,The Tree,5.236,2011-07-15,6.6,60,tt6206204,The Tree,2017,95.0,"Drama,Family"
The Tree,Zeit.,2011,"[18, 10751]",469861,en,The Tree,0.641,2017-04-01,7.0,1,tt1496005,The Tree,2010,100.0,"Drama,Romance"
The Tree,Zeit.,2011,"[18, 10751]",469861,en,The Tree,0.641,2017-04-01,7.0,1,tt6206204,The Tree,2017,95.0,"Drama,Family"
Armadillo,Lorb.,2011,"[99, 10752]",37828,da,Armadillo,4.631,2011-04-15,7.2,61,tt1640680,Armadillo,2010,105.0,"Documentary,War"
Bodyguard,Relbig.,2011,"[18, 28, 35, 10749]",73582,hi,Bodyguard,7.736,2011-08-31,5.4,63,tt1585558,Bodyguard,2010,152.0,Comedy
Bodyguard,Relbig.,2011,"[18, 28, 35, 10749]",73582,hi,Bodyguard,7.736,2011-08-31,5.4,63,tt1729637,Bodyguard,2011,130.0,"Action,Comedy,Romance"
Bodyguard,Relbig.,2011,"[18, 28, 35, 10749]",73582,hi,Bodyguard,7.736,2011-08-31,5.4,63,tt2100411,Bodyguard,2012,150.0,"Action,Comedy"
Bodyguard,Relbig.,2011,"[18, 28, 35, 10749]",73582,hi,Bodyguard,7.736,2011-08-31,5.4,63,tt5460508,Bodyguard,2016,105.0,"Action,Drama,Thriller"
Brighton Rock,IFC,2011,"[18, 53, 80]",62728,en,Brighton Rock,4.749,2011-08-26,6.0,57,tt1233192,Brighton Rock,2010,111.0,"Crime,Drama,Thriller"
A Somewhat Gentle Man,Strand,2011,"[35, 80, 18]",31035,no,En ganske snill mann,4.381,2010-10-01,6.3,43,tt1386683,A Somewhat Gentle Man,2010,113.0,"Comedy,Crime,Drama"
Another Earth,FoxS,2011,"[18, 878]",55420,en,Another Earth,10.03,2011-07-22,6.7,853,tt1549572,Another Earth,2011,92.0,"Drama,Romance,Sci-Fi"
A Better Life,Sum.,2011,[18],55720,en,A Better Life,5.885,2011-06-24,7.1,97,tt1554091,A Better Life,2011,98.0,"Drama,Romance"
A Better Life,Sum.,2011,[99],418293,en,A Better Life,0.6,2015-05-01,10.0,1,tt1554091,A Better Life,2011,98.0,"Drama,Romance"
Chalet Girl,IFC,2011,"[35, 10749]",58232,en,Chalet Girl,6.037,2011-02-02,6.3,371,tt1487118,Chalet Girl,2011,97.0,"Comedy,Romance,Sport"
Bill Cunningham New York,Zeit.,2011,[99],55244,en,Bill Cunningham New York,2.531,2010-03-24,7.9,48,tt1621444,Bill Cunningham: New York,2010,84.0,"Biography,Documentary,History"
The Art of Getting By,FoxS,2011,"[18, 10749]",64678,en,The Art of Getting By,8.695,2011-06-17,6.5,752,tt1645080,The Art of Getting By,2011,83.0,"Drama,Romance"
The Devil's Double,LGF,2011,"[18, 28, 53, 80, 10752]",62630,en,The Devil's Double,7.505,2011-07-29,6.7,291,tt1270262,The Devil's Double,2011,109.0,"Biography,Drama,Thriller"
The Whistleblower,Gold.,2011,"[18, 53, 80]",65760,uk,The Whistleblower,9.578,2011-08-05,6.7,269,tt0896872,The Whistleblower,2010,112.0,"Action,Biography,Crime"
Red State,SMod,2011,"[27, 28, 53]",48572,en,Red State,7.816,2011-09-23,6.1,472,tt0873886,Red State,2011,88.0,"Action,Crime,Horror"
There Be Dragons,Gold.,2011,"[18, 10752]",45054,en,There Be Dragons,7.058,2011-05-06,5.1,93,tt1316616,There Be Dragons,2011,122.0,"Biography,Drama,War"
Vanishing on 7th Street,Magn.,2011,"[9648, 27, 53]",43552,en,Vanishing on 7th Street,7.719,2011-02-18,5.0,261,tt1452628,Vanishing on 7th Street,2010,92.0,"Horror,Mystery,Thriller"
Meek's Cutoff,Osci.,2011,"[18, 37]",57120,en,Meek's Cutoff,7.309,2010-10-08,6.5,113,tt1518812,Meek's Cutoff,2010,104.0,"Drama,Western"
Texas Killing Fields,Anch.,2011,"[18, 53, 80, 9648]",72477,en,Texas Killing Fields,8.517,2011-10-14,5.8,237,tt1389127,Texas Killing Fields,2011,105.0,"Crime,Drama,History"
Miral,Wein.,2011,[18],45595,en,Miral,2.558,2010-12-03,6.1,27,tt1366409,Miral,2010,112.0,"Drama,History"
Submarine,Wein.,2011,"[18, 35, 10749]",49020,en,Submarine,7.412,2011-06-03,7.4,770,tt1440292,Submarine,2010,97.0,"Comedy,Drama,Romance"
Higher Ground,SPC,2011,"[18, 53]",50875,en,Higher Ground,4.545,2011-08-26,5.9,21,tt1562568,Higher Ground,2011,109.0,Drama
Mozart's Sister,MBox,2011,[18],62116,fr,"Nannerl, la soeur de Mozart",2.309,2011-08-19,6.5,16,tt1653911,Mozart's Sister,2010,120.0,"Biography,Drama,Music"
The First Grader,NGE,2011,"[10749, 18]",47559,en,The First Grader,3.331,2010-09-04,7.0,51,tt0790663,The First Grader,2010,103.0,"Biography,Drama,Romance"
Blackthorn,Magn.,2011,"[12, 28, 37]",68818,en,Blackthorn,7.548,2011-10-07,6.7,111,tt1629705,Blackthorn,2011,102.0,"Action,Adventure,Western"
The Ledge,IFC,2011,"[18, 53]",63493,en,The Ledge,8.16,2011-07-08,6.1,185,tt1535970,The Ledge,2011,101.0,"Drama,Romance,Thriller"
Heartbeats,IFC,2011,"[18, 10749]",51241,fr,Les amours imaginaires,6.63,2011-02-25,7.4,490,tt1600524,Heartbeats,2010,101.0,"Drama,Romance"
Heartbeats,IFC,2011,"[10402, 10749]",457308,en,Heartbeats,6.127,2018-03-20,6.9,69,tt5281700,Heartbeats,2017,107.0,"Comedy,Drama,Music"
The Future,RAtt.,2011,"[35, 18]",54662,en,The Future,3.836,2011-07-29,5.8,38,tt1235170,The Future,2011,91.0,"Drama,Fantasy,Romance"
The Future,RAtt.,2011,[18],153774,it,Il futuro,2.336,2013-09-06,5.8,11,tt1992156,Il Futuro,2013,94.0,Drama
Double Dhamaal,Relbig.,2011,"[35, 80, 18]",68029,hi,Double Dhamaal,4.392,2011-07-01,4.6,19,tt1728239,Double Dhamaal,2011,138.0,"Comedy,Crime,Drama"
Kaboom,IFC,2011,"[18, 878, 35, 9648]",46837,en,Kaboom,6.052,2010-10-06,5.7,175,tt1523483,Kaboom,2010,86.0,"Comedy,Mystery,Romance"
Circumstance,RAtt.,2011,[18],60421,fa,Circumstance,2.86,2011-08-26,6.9,45,tt1684628,Circumstance,2011,107.0,Drama
The Other Woman,IFC,2011,[18],52505,en,The Other Woman,9.15,2011-02-04,6.2,220,tt2203939,The Other Woman,2014,109.0,"Comedy,Romance"
The Other Woman,IFC,2011,"[35, 10749]",193610,en,The Other Woman,11.894,2014-04-25,6.3,2276,tt2203939,The Other Woman,2014,109.0,"Comedy,Romance"
The Other Woman,IFC,2011,"[18, 35, 10749]",499722,fr,Amoureux de ma femme,6.359,2018-04-30,4.9,60,tt7654872,Amoureux de ma femme,2018,84.0,"Comedy,Drama,Romance"
Project Nim,RAtt.,2011,[99],63579,en,Project Nim,4.406,2011-07-08,6.8,79,tt1814836,Project Nim,2011,93.0,Documentary
Hesher,WHE,2011,[18],44835,en,Hesher,7.14,2010-01-22,7.0,335,tt1403177,Hesher,2010,106.0,"Comedy,Crime,Drama"
Another Happy Day,P4,2011,"[35, 18]",60422,en,Another Happy Day,5.473,2011-11-18,6.1,60,tt1719071,Another Happy Day,2011,119.0,"Comedy,Drama"
Super,IFC,2011,"[35, 28, 18]",45132,en,Super,11.36,2011-03-31,6.6,726,tt1512235,Super,2010,96.0,"Action,Comedy,Drama"
Super,IFC,2011,"[35, 28, 18]",45132,en,Super,11.36,2011-03-31,6.6,726,tt1807022,Super,2010,140.0,Drama
Super,IFC,2011,"[35, 28, 18]",45132,en,Super,11.36,2011-03-31,6.6,726,tt7456902,Super,2016,92.0,Adventure
Being Elmo: A Puppeteer's Journey,SD,2011,"[99, 10751]",75301,en,Being Elmo: A Puppeteer's Journey,5.762,2011-10-21,7.4,86,tt1787660,Being Elmo: A Puppeteer's Journey,2011,80.0,Documentary
In the Land of Blood and Honey,FD,2011,"[18, 10749, 10752]",79777,en,In the Land of Blood and Honey,5.099,2011-12-23,6.1,83,tt1714209,In the Land of Blood and Honey,2011,127.0,"Drama,Romance,War"
The Interrupters,CGld,2011,[99],72711,en,The Interrupters,3.636,2011-07-29,7.0,21,tt1319744,The Interrupters,2011,125.0,"Crime,Documentary"
Black Death,Magn.,2011,"[28, 18, 27, 9648, 53]",41215,en,Black Death,9.819,2011-03-11,5.9,425,tt1181791,Black Death,2010,102.0,"Action,Adventure,Drama"
Life in a Day,NGE,2011,"[99, 18]",66150,en,Life in a Day,5.818,2011-01-27,7.3,116,tt1687247,Life in a Day,2011,95.0,"Documentary,Drama"
El Bulli: Cooking in Progress,AM,2011,[99],82688,en,El Bulli: Cooking in Progress,1.025,2011-09-15,5.0,3,tt1696535,El Bulli: Cooking in Progress,2010,108.0,Documentary
Into the Abyss,IFC,2011,"[99, 80]",77365,en,Into the Abyss,6.289,2011-11-11,7.2,132,tt1972663,Into the Abyss,2011,107.0,"Crime,Documentary,Drama"
The Robber,Kino,2011,"[18, 53, 80]",54524,de,Der Räuber,3.714,2011-04-29,6.6,43,tt1339161,The Robber,2010,90.0,"Biography,Crime,Drama"
Henry's Crime,MPFT,2011,"[80, 35]",53172,en,Henry's Crime,7.523,2011-04-08,5.8,165,tt1220888,Henry's Crime,2010,108.0,"Comedy,Crime,Drama"
A Good Old Fashioned Orgy,Gold.,2011,[35],69778,en,A Good Old Fashioned Orgy,8.822,2011-09-02,5.9,147,tt1231586,A Good Old Fashioned Orgy,2011,95.0,"Comedy,Romance"
A Screaming Man,FM,2011,"[10752, 18]",57602,fr,Un homme qui crie,2.211,2010-09-28,6.1,10,tt1639901,A Screaming Man,2010,92.0,Drama
Nostalgia for the Light,Icar.,2011,[99],72721,es,Nostalgia de la luz,3.401,2011-03-17,7.8,58,tt1556190,Nostalgia for the Light,2010,90.0,Documentary
Bellflower,Osci.,2011,"[28, 18, 10749]",58699,en,Bellflower,5.377,2011-08-05,6.2,84,tt1242599,Bellflower,2011,106.0,"Action,Drama,Romance"
Road to Nowhere,Mont.,2011,"[9648, 53]",42707,en,Road to Nowhere,2.201,2011-06-10,5.4,23,tt1504319,Road to Nowhere,2010,121.0,"Romance,Thriller"
Revenge of the Electric Car,A23,2011,[99],67619,en,Revenge of the Electric Car,1.023,2011-10-21,6.7,12,tt1413496,Revenge of the Electric Car,2011,90.0,Documentary
Cold Weather,IFC,2011,"[9648, 18, 35, 53]",55934,en,Cold Weather,2.432,2010-03-13,6.2,19,tt1497874,Cold Weather,2010,96.0,"Comedy,Drama,Mystery"
